,商铺名,所在楼层,关键字
108003,麦当劳餐厅,东连接楼一层,餐厅;餐饮;饮食;快餐;甜品;
108006,唯忆面馆,东连楼三层,餐厅;餐饮;饮食;快餐;美食;面馆;
108101,百怡咖啡,东一指廊三层,休闲;咖啡厅;甜品;
108102,Perch Coffee,东一指廊三层,休闲;咖啡厅;甜品;
108103,金龙咖啡厅,东一指廊三层,休闲;咖啡厅;甜品;
108105,中图餐厅,东一指廊一层,餐厅;餐饮;饮食;快餐;美食;
108201,星巴克咖啡厅,东二指廊三层,休闲;咖啡厅;甜品;
108202,金龙美食风味餐厅,东二指廊三层,餐厅;餐饮;饮食;快餐;美食;
108203,豪邦休闲餐厅,东二指廊三层,餐厅;餐饮;饮食;快餐;美食;休闲;
108205,唯忆面馆,东二指廊三层,餐厅;餐饮;饮食;快餐;美食;面馆;
108206,逸臣咖啡厅、逸臣商场,东二指廊一层,休闲;咖啡厅;甜品;购物;商品;商场;商店;便利店;食品;
108301,麦当劳餐厅,东连接楼一层,餐厅;餐饮;饮食;快餐;甜品;
108302,上岛咖啡,东三指廊三层,休闲;咖啡厅;甜品;
108303,东城美食轩、东城便利店,东三指廊一层,餐厅;餐饮;饮食;快餐;美食;购物;商品;商店;便利店
108305,盛天下,东三指廊三层,茶馆;茶庄;餐厅;餐饮;
109003,逸臣书屋,东连接楼一层,书刊;书店;书籍;杂志;
109004,金度商场,东连接楼一层,购物;商品;商场;商店;
109005,冀宏便利店,东连接楼一层,购物;商品;商店;便利店;
109007,7-11便利店,东连接楼一层,购物;商品;商店;便利店;
109008,china duty free 免税店,东连楼三层,免税店;化妆品;
109009,montblanc、cartier,东连楼三层,奢侈品;纪念品;工艺品;首饰;配饰;珠宝;手表;
109010,Burberry,东连楼三层,免税店;奢侈品;服饰;服装;鞋子;衣服;手袋;
109011,salvatore,东连楼三层,服饰;服装;鞋子;衣服;手袋;
109012,BALLY,东连楼三层,服饰;服装;鞋子;衣服;手袋;
109013,BOSS,东连楼三层,服饰;服装;鞋子;衣服;手袋;
109015,DUNHILL,东连楼三层,服饰;服装;鞋子;衣服;手袋;皮具;
109016,上海滩,东连楼三层,服饰;服装;鞋子;衣服;手袋;箱包;皮具;
109017,omega,东连楼三层,奢侈品;手表;
109018,TUMI品牌免税店,东连楼三层,免税店;箱包;皮具;
109019,俪乐廊,东连楼三层,免税店;化妆品;
109020,Kiehl's、Alexendra,东连楼三层,化妆品;
109021,AGATHA、L'OCCITANE,东连楼三层,化妆品;
109022,雅天妮 ARTINI,东连楼三层,奢侈品;工艺品;首饰;配饰;手表;
109023,POWERLAND,东连楼三层,箱包;皮具;手袋;
109025,FOLINSI,东连楼三层,奢侈品;工艺品;首饰;配饰;手表;
109026,ALFIERI ST.JOHN,东连楼三层,服饰;服装;衣服;,
109027,VERSINO、LOZIO,东连楼三层,服饰;服装;衣服;,
109028,金港名烟名酒专卖,东连楼三层,烟酒茶;
109029,克雷斯丹尼,东连楼三层,鞋子;皮具;
109030,曼哈顿 ,东连楼三层,服饰;服装;衣服;首饰;配饰;
109031,儿童天地品牌店,东连楼三层,购物;玩具;
109032,DILAKS,东连楼三层,手袋;箱包;皮具;
109033,VESTO、DEBOR,东连楼三层,奢侈品;工艺品;首饰;配饰;手表;
109035,SAINT JACK、oilily,东连楼三层,手袋;箱包;皮具;
109036,逸臣书屋,东连楼三层,书刊;书店;书籍;杂志;
109037,跨界数码,东连楼三层,电子产品;数码;
109038,赛吉琥珀、MGS曼古银,东连楼三层,奢侈品;工艺品;首饰;配饰;珠宝;
109040,逸臣书屋,东连接楼一层,书刊;书店;书籍;杂志;
109101,汉石斋,东一指廊三层,奢侈品;工艺品;首饰;配饰;珠宝;
109103,生利惠龙,东一指廊三层,餐饮;商场;购物;服饰;
109105,逸臣书屋,东一指廊三层,书刊;书店;书籍;杂志;
109107,lacoste,东一指廊三层,服饰;服装;衣服;
109108,白云机场商场,东一指廊三层,购物;商品;商场;商店;
109109,逸臣商场,东一指廊三层,购物;商品;商场;商店;
109110,china duty free 免税店,东一指廊三层,免税店;化妆品;
109111,化妆品店,东一指廊三层,化妆品;
109112,白云机场土特产专卖,东一指廊三层,手信;特产;购物;
109113,china duty free 免税店(零食),东一指廊三层,免税店;零食;购物;
109121,思明综合商店,东一指廊一层,购物;商品;商场;商店;便利店;
109201,水果园,东二指廊三层,水果;
109202,SWAROVSKI,东二指廊三层,奢侈品;工艺品;首饰;配饰;珠宝;
109203,卡奴迪路,东二指廊三层,服饰;服装;衣服;
109205,广东特产,东二指廊三层,手信;特产;购物;
109207,逸臣书屋,东二指廊三层,书刊;书店;书籍;杂志;
109208,恩明烟酒廊,东二指廊三层,烟酒茶;
109209,特产商店,东二指廊三层,手信;特产;购物;
109210,逸臣书屋,东二指廊三层,书刊;书店;书籍;杂志;
109211,多乐坊,东二指廊三层,玩具;购物;
109212,瑞红,东二指廊三层,奢侈品;工艺品;首饰;配饰;珠宝;纪念品;
109301,比音勒芬、EP,东三指廊三层,服饰;服装;衣服;
109302,唐艺轩,东三指廊三层,奢侈品;工艺品;,
109303,瑞橡商业,东三指廊三层,餐厅;餐饮;饮食;快餐;美食;休闲;,
109305,逸臣书屋,东三指廊三层,书刊;书店;书籍;杂志;
109306,中图便利店,东三指廊三层,购物;商品;商店;便利店;
109307,多乐坊、水果店、逸臣书屋,东三指廊三层,水果;玩具;购物;书店;,
109310,Gentle、Samsonite、Dekeni,东三指廊三层,服饰;服装;衣服;鞋子;手袋;箱包;皮具;
109311,瑞橡休闲吧,东三指廊三层,休闲;咖啡厅;美食;甜品;
118002,大长今韩式料理,西连接楼一层,餐厅;餐饮;饮食;美食;
118005,星巴克、太平沙面、真功夫,西连接楼一层,餐厅;餐饮;饮食;快餐;休闲;咖啡厅;
118006,真功夫餐厅,西连接楼一层,餐厅;餐饮;饮食;快餐;
118008,SUBWAY、捷惠美食,西连接楼三层,餐厅;餐饮;饮食;快餐;美食;
118101,普奇咖啡厅,西一指廊三层,休闲;咖啡厅;甜品;
118102,唯忆面馆,西一指廊三层,餐厅;餐饮;饮食;快餐;美食;面馆;
118105,中图餐厅,西一指廊三层,餐厅;餐饮;饮食;美食;
118202,伊示雅餐厅,西二指廊三层,餐厅;餐饮;饮食;美食;
118203,唯忆面馆,西二指廊三层,餐厅;餐饮;饮食;快餐;美食;面馆;
118205,LAVAZZA餐厅,西一指廊三层,餐厅;餐饮;饮食;美食;
118207,逸臣咖啡厅,西二指廊一层,休闲;咖啡厅;甜品;
118224,仙踪林餐厅,西二指廊三层,餐厅;餐饮;饮食;美食;甜品;
118301,天锡楼面馆,西三指廊三层,餐厅;餐饮;饮食;快餐;美食;面馆;
118302,风雅老树咖啡厅,西三指廊三层,休闲;咖啡厅;甜品;
118305,捷惠便利、便惠咖啡,西一指廊一层,休闲;咖啡厅;甜品;
118306,富利达餐厅,西连楼一层,餐厅;餐饮;饮食;美食;
118601,肯德基餐厅,西连楼一层,餐厅;餐饮;饮食;快餐;
119001,淮海便利店,西连楼一层,购物;商品;商店;便利店;
119005,逸臣书屋,西连楼一层,书刊;书店;书籍;杂志;
119006,MAC、L'OCCITANE,西连楼三层,化妆品;
119007,Ochirly、BOSSsunwen、DIKENI、ALGLE、UTC品牌店,西连楼三层,服饰;服装;衣服;鞋子;手袋;箱包;皮具;
119011,比Beverly hills、camel active,西连楼三层,服饰;服装;衣服;鞋子;手袋;箱包;皮具;
119012,SKAP,西连楼三层,服饰;服装;衣服;鞋子;手袋;箱包;皮具;
119013,程飞便利店,西连楼三层,购物;商品;商店;便利店;
119015,E.P雅莹品牌店,西连楼三层,服饰;服装;衣服
119016,白云机场烟酒商店,西一指廊三层,烟酒茶;
119017,JEVONI,西连楼三层,服饰;服装;衣服
119018,DISSONA,西连楼三层,手袋;箱包;皮具;
119019,凯喜雅丝绸品牌店,西连楼三层,服饰;服装;衣服
119020,多乐坊玩具店,西连楼三层,玩具;购物;
119021,卡通天地,西连楼三层,休闲;玩具;购物;
119022,逸臣书屋,西连楼三层,书刊;书店;书籍;杂志;
119023,菲尚香水化妆品店,西连楼三层,化妆品;
119025,VASTO,西连楼三层,服饰;服装;衣服
119026,FOLUNSI佛伦斯,西连楼三层,服饰;服装;衣服
119027,UTC行家,西连楼三层,手袋;箱包;皮具;,
119028,来龙,西连楼三层,服饰;服装;衣服
119029,爵士丹尼,西连楼三层,服饰;服装;衣服
119030,卡尔丹顿,西连楼三层,服饰;服装;衣服
119031,FOLUNSI佛伦斯,西连楼三层,服饰;服装;衣服
119032,Versino、Lozio,西连楼三层,服饰;服装;衣服
119033,名烟古界,西连楼三层,烟酒茶;
119037,T100儿童天地,西连楼三层,休闲;玩具;购物;
119038,Dilaks,西连楼三层,手袋;箱包;皮具;
119039,Vasto、debor,西连楼三层,奢侈品;工艺品;首饰;配饰;珠宝;
119040,powerland,西连楼三层,手袋;箱包;皮具;
119041,逸臣书屋,西连楼三层,书刊;书店;书籍;杂志;
119043,跨界数码,西连楼三层,电子产品;数码;
119045,外交官,西连楼三层,手袋;箱包;
119048,逸臣书屋,西连楼一层,书刊;书店;书籍;杂志;
119049,恩明便利店,西连楼一层,购物;商品;商店;便利店;
119101,多乐坊玩具店,西一指廊三层,玩具;购物;
119102,逸臣书屋,西一指廊三层,书刊;书店;书籍;杂志;
119103,甜言物语食品店,西一指廊三层,食品;甜品;零食;
119105,逸臣书屋,西一指廊三层,书刊;书店;书籍;杂志;
119106,CANUDILO,西一指廊三层,服饰;服装;衣服;
119107,瑞红首饰,西一指廊三层,奢侈品;工艺品;首饰;配饰;珠宝;纪念品;
119109,好旺便利店,西一指廊三层,购物;商品;商店;便利店;
119110,特产商店,西一指廊三层,手信;特产;购物;
119111,水果店,西一指廊三层,水果;
119112,CANUDILO HOLIDAYS,西一指廊三层,服饰;服装;衣服;
119113,港辉烟酒店,西一指廊三层,烟酒茶;
119115,BRAUN BUFFEL,西一指廊三层,服饰;服装;鞋子;衣服;手袋;
119116,比音勒芬、Gift Gate,西一指廊三层,服饰;服装;衣服;
119201,水果店,西二指廊三层,水果;
119202,多乐坊玩具店,西二指廊三层,玩具;购物;
119203,逸臣书屋,西二指廊三层,书刊;书店;书籍;杂志;,
119205,逸臣商场,西二指廊三层,购物;商品;商场;商店;
